CIVILSTAND;TID;INDHOLD
Fraskilt;2008K1;428864
Fraskilt;2008K2;431550
Fraskilt;2008K3;432713
Fraskilt;2008K4;432156
Fraskilt;2020K1;544588
Fraskilt;2020K2;548229
Fraskilt;2020K3;550715
Fraskilt;2020K4;552419
